SYMPTOM,VAERS_ID,AGE_YRS,DIED,L_THREAT,OTHER_MEDS,CUR_ILL,HISTORY,PRIOR_VAX,ALLERGIES,HOSPITAL,F,M,JANSSEN,MODERNA,PFIZER,VAX_DOSE_SERIES_1,VAX_DOSE_SERIES_2,VAX_SITE_LA,VAX_SITE_RA,AGE_GROUP
Influenza virus test positive,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Nitrite urine absent,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Oral pain,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Haemorrhoids,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Neutrophil percentage increased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Procalcitonin increased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Head titubation,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Neutrophil count normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Hallucination, auditory",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Injection site abscess,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Neurological examination normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Orthopnoea,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Injection site dryness,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Herpes zoster oticus,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Orthostatic hypotension,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Nerve compression,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Injection site extravasation,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Injection site haematoma,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Neck mass,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
International normalised ratio increased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Lymphocyte count increased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Musculoskeletal chest pain,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Muscle swelling,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Metabolic function test abnormal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Piloerection,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Left ventricular hypertrophy,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Legionella test,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Leukaemia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mechanical ventilation,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mean cell haemoglobin normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mean cell haemoglobin decreased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Physical examination,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Limb mass,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mean cell haemoglobin concentration decreased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Protein C,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hypoaesthesia eye,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Protein albumin ratio normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Protein urine absent,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Photopsia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hypoglycaemia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hypotonia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Lipase normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Lower respiratory tract infection,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Lung disorder,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hyporesponsive to stimuli,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Magnetic resonance cholangiopancreatography,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Periarthritis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Pericardial effusion,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Lymphocyte percentage increased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Lymphocyte percentage,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Metrorrhagia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Psychotic disorder,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Pityriasis rosea,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Movement disorder,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Muscle strain,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Muscle fatigue,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Postictal state,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Poor quality sleep,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Poor peripheral circulation,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hypophagia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Muscle contractions involuntary,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Muscle atrophy,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Multiple sclerosis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Palatal disorder,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Immunisation,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hospitalisation,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Polymenorrhoea,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hyperglycaemia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mood swings,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mood altered,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Monoplegia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mononucleosis heterophile test negative,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Jaw disorder,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Pancytopenia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Monocyte percentage decreased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Monocyte percentage,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Monocyte count normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Platelet transfusion,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Moaning,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Miliaria,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Pulmonary mass,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sinusitis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cardiac death,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Thyroid function test,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood urea nitrogen/creatinine ratio increased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Tongue erythema,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Bradyphrenia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Brain herniation,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Breast engorgement,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Breast feeding,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Breath sounds normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Carbon dioxide increased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Bundle branch block,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Bundle branch block left,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Bundle branch block right,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
COVID-19 immunisation,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
CSF culture negative,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
CSF glucose normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Tongue ulceration,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood urea,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Torticollis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood sodium increased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Transient global amnesia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood pressure systolic,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood pressure normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood pH normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood iron,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood glucose fluctuation,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood gases abnormal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood folate normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood ethanol normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood electrolytes normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood culture positive,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood count,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ultrasound skull,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Caesarean section,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cardiac assistance device user,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Dermatitis bullous,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Computerised tomogram pelvis abnormal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Clumsiness,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cluster headache,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Stress,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Colitis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Colonoscopy abnormal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Computerised tomogram pelvis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Computerised tomogram spine,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cardiac discomfort,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Continuous positive airway pressure,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Coronary artery occlusion,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cubital tunnel syndrome,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Culture,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Culture negative,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Specific gravity urine normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Circumstance or information capable of leading to medication error,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Circulatory collapse,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sudden cardiac death,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cholecystitis chronic,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cholecystitis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cholecystectomy,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Chest injury,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Chapped lips,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Supraventricular extrasystoles,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cerebral thrombosis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cerebral artery stenosis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Catheterisation cardiac normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Catheterisation cardiac abnormal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Tearfulness,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Temperature intolerance,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cardiac telemetry abnormal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cardiac stress test abnormal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood catecholamines,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood bilirubin decreased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood bilirubin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Anal hypoaesthesia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Agonal respiration,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Vitrectomy,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Vitamin B12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Altered visual depth perception,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Vital signs measurement,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Visual field defect,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Aneurysm,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood bicarbonate increased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Angiogram retina,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Anion gap decreased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Vibratory sense increased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Anti-cyclic citrullinated peptide antibody,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Anti-thyroid antibody positive,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Antiacetylcholine receptor antibody positive,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Adverse event following immunisation,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Adult failure to thrive,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Wheelchair user,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Adenovirus test,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Adenovirus infection,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Acute pulmonary oedema,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Acute motor-sensory axonal neuropathy,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Acute hepatic failure,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Acute disseminated encephalomyelitis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Acute coronary syndrome,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Acute cardiac event,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Acoustic stimulation tests normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Wrong patient received product,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Abscess neck,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Wrong technique in product usage process,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Abscess,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
X-ray abnormal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Antibiotic therapy,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Antinuclear antibody negative,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Antiphospholipid antibodies positive,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Urosepsis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood bicarbonate decreased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood alkaline phosphatase normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blood alkaline phosphatase decreased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Upper gastrointestinal haemorrhage,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Bladder catheterisation,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Birth mark,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Biopsy peripheral nerve,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Biopsy bone marrow,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Urine ketone body present,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Basal ganglia stroke,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Urine leukocyte esterase positive,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Urobilinogen urine,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Bacterial test positive,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Bacterial test,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Uterine dilation and curettage,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Aortic aneurysm,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Autonomic nervous system imbalance,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Uveitis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Aura,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Vaccination site bruising,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Aspartate aminotransferase increased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Arthropod bite,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Arteriosclerosis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Vaccination site movement impairment,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Arterial disorder,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Appetite disorder,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Apnoea,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Aphthous ulcer,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Vasculitis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Aortic arteriosclerosis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Depression,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ophthalmological examination,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Renal mass,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Scratch,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skin abrasion,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Feeling drunk,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Drooling,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Drainage,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Generalised oedema,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skin disorder,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Electromyogram normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sinus tachycardia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Renal failure,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Fear of disease,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Distributive shock,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Fear of death,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Retinal vein occlusion,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Retroperitoneal haemorrhage,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
General physical health deterioration,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Secretion discharge,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Discharge,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Foetal heart rate abnormal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Full blood count abnormal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Shift to the left,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Respiratory syncytial virus test negative,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Endoscopy,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ecchymosis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Food refusal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Shoulder injury related to vaccine administration,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Fluid retention,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
SARS-CoV-2 antibody test negative,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ear infection,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Gastrointestinal tract irritation,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Gastrointestinal tube insertion,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Dysmenorrhoea,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sedation,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Exercise tolerance decreased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Electrocardiogram ST segment abnormal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Dermatitis exfoliative generalised,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Gingival bleeding,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Facial asymmetry,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Red blood cell count increased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Diarrhoea haemorrhagic,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Extrasystoles,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Facial discomfort,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Red blood cells urine positive,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Dermatitis contact,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Gingival swelling,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Eyelids pruritus,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rheumatoid factor,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Diet refusal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Differential white blood cell count normal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
SARS-CoV-2 antibody test positive,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Diabetic ketoacidosis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HIV test,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Eyelid margin crusting,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Globulin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Retinal deposits,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Protein urine present,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
